index,Mileage,price,ModelYear,brakes,airbag,camera,controls,speakers,video,bluetooth,alarm,navigations,digital,keyless,heated,leather,armrest,total,Drivetrain,Fuel Type,Transmission,Make,Model
1278,68432.0,20974.0,2014.0,2,5,0,7,0,3,0,0,0,0,2,0,2,0,452,1,3,0,6,21
1279,37980.0,21995.0,2014.0,5,10,0,15,3,8,0,1,1,1,1,9,5,2,869,3,3,0,20,173
1280,10342.0,26495.0,2017.0,6,9,1,11,3,8,0,2,1,1,1,9,5,3,802,1,3,0,20,390
1281,39188.0,14499.0,2014.0,3,6,0,10,1,3,0,0,1,2,0,0,0,1,591,2,3,0,15,176
1282,36997.0,27995.0,2007.0,2,4,0,4,2,7,0,0,1,0,0,5,1,0,423,3,3,0,33,117
1283,69658.0,9788.0,2008.0,4,7,0,10,2,6,0,2,0,1,1,0,3,1,655,2,3,1,18,115
1284,28446.0,48500.0,2014.0,5,5,0,10,3,6,0,2,0,1,1,7,5,1,802,3,3,0,22,471
1285,12049.0,51800.0,2017.0,5,7,1,11,4,8,0,1,1,1,1,8,2,2,846,1,3,0,22,469
1286,42459.0,39977.0,2015.0,5,7,1,10,2,6,0,2,0,1,2,9,5,2,869,1,3,0,6,464
1287,28244.0,46977.0,2015.0,5,7,1,11,2,5,0,2,0,1,1,7,3,0,876,1,3,0,6,463
1288,29216.0,24977.0,2015.0,5,9,1,14,2,7,0,0,0,1,2,6,5,3,870,1,3,0,6,14
1289,34068.0,26995.0,2016.0,4,3,1,11,1,7,0,1,1,1,2,6,5,1,764,2,3,0,18,321
1290,49383.0,26900.0,2014.0,5,9,0,13,2,7,0,2,1,1,1,7,2,3,794,1,1,0,33,303
1291,24480.0,32000.0,2016.0,4,4,1,11,1,5,0,1,0,1,2,7,5,0,721,1,3,0,50,241
1292,39618.0,24780.0,2015.0,5,7,1,11,3,6,0,2,1,1,1,8,5,3,817,1,3,0,21,341
1293,47766.0,20950.0,2007.0,3,3,0,8,0,0,0,0,0,1,2,3,4,0,279,3,3,1,40,94
1294,58488.0,29471.0,2010.0,5,11,0,9,4,10,0,1,2,2,1,8,3,2,865,3,3,0,33,117
1295,69228.0,21999.0,2014.0,2,3,0,10,2,11,0,0,1,1,0,4,2,0,528,1,3,0,7,167
1296,11826.0,5900.0,2013.0,4,9,0,7,2,3,0,1,0,1,1,4,3,1,680,3,3,0,45,406
1297,114077.0,14495.0,2009.0,2,3,1,4,2,7,0,0,1,0,2,5,4,0,467,3,3,0,33,378
1313,2925.0,29200.0,2017.0,2,4,1,8,2,5,0,2,1,1,1,5,4,0,612,2,3,0,20,90
1314,101312.0,10000.0,2008.0,4,3,0,9,1,5,0,1,1,1,2,6,5,1,702,3,3,0,21,286
1315,24.0,27893.0,2017.0,2,4,0,11,1,6,0,0,1,1,0,12,2,1,589,1,3,0,11,113
1316,35078.0,24477.0,2014.0,2,4,1,8,1,5,0,1,0,1,1,5,2,0,541,1,3,0,6,19
1317,6540.0,32477.0,2017.0,2,3,0,6,1,5,0,1,0,1,2,1,5,1,526,1,3,0,4,338
1318,28690.0,16477.0,2017.0,2,3,0,6,1,4,0,0,0,1,0,4,2,1,453,2,3,0,31,294
1319,15215.0,37999.0,2018.0,4,4,2,11,2,8,0,1,1,2,2,6,5,0,801,0,3,0,15,182
1320,9968.0,41595.0,2017.0,4,0,0,9,0,3,0,0,0,0,4,1,2,0,468,1,3,0,6,278
1321,100787.0,13550.0,2008.0,4,6,1,10,0,1,0,0,0,0,2,5,3,0,381,0,3,0,26,357
1322,20908.0,41500.0,2016.0,5,10,2,13,2,7,0,2,1,1,1,6,6,3,891,1,3,0,27,375
1323,71793.0,29998.0,2014.0,5,7,0,11,2,5,0,2,0,1,2,8,2,1,874,1,0,0,6,463
1324,29373.0,32995.0,2017.0,5,7,1,13,2,6,0,2,1,2,1,3,2,1,827,0,3,0,15,181
1325,48657.0,7500.0,2015.0,5,10,0,12,3,7,0,3,0,1,1,0,0,1,754,2,3,0,9,411
1326,104838.0,11790.0,2006.0,5,7,0,14,2,5,0,2,1,0,1,8,7,4,877,0,3,0,27,238
1327,50153.0,17800.0,2017.0,5,9,1,13,2,6,0,2,0,1,1,4,0,3,778,2,3,0,20,390
1328,25754.0,23766.0,2017.0,5,7,0,8,2,3,0,0,0,1,0,3,0,2,679,0,3,0,41,2
1329,33180.0,29600.0,2015.0,5,7,1,11,2,4,0,2,1,2,1,2,1,1,880,0,3,0,15,184
1330,47288.0,28800.0,2016.0,5,7,0,11,3,8,0,2,0,0,1,8,5,3,866,1,3,0,21,344
1331,3901.0,39040.0,2018.0,4,4,1,10,1,8,0,1,1,1,2,8,5,1,830,1,3,0,2,418
1332,29345.0,16749.0,2015.0,5,7,1,10,3,7,0,1,1,1,1,0,0,3,672,1,3,0,18,139
1333,56876.0,32800.0,2013.0,2,0,1,3,0,2,0,0,1,0,1,1,3,0,491,3,3,0,9,104
1334,6387.0,43999.0,2018.0,6,0,1,7,0,0,0,0,0,0,1,2,3,0,495,1,3,0,4,340
1335,13950.0,41777.0,2015.0,4,4,2,11,1,8,0,0,1,0,2,9,4,0,864,1,3,0,4,74
1336,49094.0,23980.0,2016.0,3,7,1,11,2,7,0,1,1,1,1,3,4,1,580,1,3,0,8,146
1337,15942.0,19888.0,2018.0,3,7,1,5,0,5,0,0,0,1,1,0,0,1,426,1,3,0,20,391
